,Ahmedabad,Bengaluru,Chennai,Delhi,Lucknow,Mumbai,Hyderabad,Patna,Gurugram,Visakhapatnam,Amritsar,Jorapokhar,Jaipur,Thiruvananthapuram,Amaravati,Brajrajnagar,Talcher,Kolkata,Guwahati,Coimbatore,Shillong,Chandigarh,Bhopal,Ernakulam,Kochi,Aizawl
2019-03-15,Severe,Moderate,Satisfactory,Moderate,Poor,Moderate,Moderate,Moderate,Moderate,Moderate,Satisfactory,Moderate,Satisfactory,Satisfactory,Moderate,Moderate,,Poor,Very Poor,,,,,,,
2019-03-16,Severe,Moderate,Satisfactory,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Moderate,Moderate,,Moderate,Very Poor,,,,,,,
2019-03-17,Very Poor,Moderate,Moderate,Moderate,Moderate,Moderate,Satisfactory,Poor,Moderate,Satisfactory,Moderate,Moderate,Moderate,Moderate,Satisfactory,Poor,,Moderate,Poor,,,,,,,
2019-03-18,Very Poor,Moderate,Satisfactory,Poor,Poor,Moderate,Satisfactory,Moderate,Moderate,Satisfactory,Moderate,Satisfactory,Moderate,Satisfactory,Moderate,Moderate,,Moderate,Very Poor,,,,,,,
2019-03-19,Severe,Moderate,Satisfactory,Poor,Poor,Moderate,Satisfactory,Poor,Moderate,Satisfactory,Moderate,Satisfactory,Moderate,Satisfactory,Satisfactory,Moderate,,Moderate,Very Poor,,,,,,,
2019-03-20,Severe,Moderate,Moderate,Poor,Poor,Moderate,Satisfactory,Poor,Moderate,Satisfactory,Satisfactory,Moderate,Moderate,Satisfactory,Satisfactory,Moderate,,Moderate,Moderate,,,,,,,
2019-03-21,Very Poor,Moderate,Moderate,Poor,Poor,Satisfactory,Satisfactory,Very Poor,Poor,Satisfactory,Satisfactory,Moderate,Moderate,Satisfactory,Satisfactory,Moderate,Moderate,Moderate,Moderate,,,,,,,
2019-03-22,Severe,Moderate,Moderate,Moderate,Moderate,Satisfactory,Satisfactory,Poor,Moderate,Satisfactory,Satisfactory,Moderate,Moderate,Satisfactory,Satisfactory,Moderate,Moderate,Satisfactory,Moderate,,,,,,,
2019-03-23,Severe,Moderate,Satisfactory,Moderate,Moderate,Satisfactory,Moderate,Moderate,Satisfactory,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Moderate,Moderate,Moderate,Moderate,,,,,,,
2019-03-24,Severe,Moderate,Satisfactory,Moderate,Moderate,Moderate,Moderate,Poor,Moderate,Moderate,Satisfactory,Moderate,Moderate,Satisfactory,Satisfactory,Poor,Poor,Moderate,Moderate,,,,,,,
2019-03-25,Severe,Satisfactory,Satisfactory,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Satisfactory,Satisfactory,Moderate,Moderate,Satisfactory,Good,Poor,Very Poor,Poor,Poor,,,,,,,
2019-03-26,Severe,Moderate,Satisfactory,Moderate,Poor,Moderate,Moderate,Moderate,Moderate,Satisfactory,Satisfactory,Moderate,Moderate,Satisfactory,Satisfactory,Poor,Poor,Poor,Very Poor,,,,,,,
2019-03-27,Severe,Moderate,Satisfactory,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Satisfactory,Moderate,Moderate,Moderate,Satisfactory,Satisfactory,Moderate,Moderate,Moderate,Moderate,,,,,,,
2019-03-28,Severe,Moderate,Satisfactory,Poor,Poor,Moderate,Moderate,Poor,Moderate,Satisfactory,Poor,Moderate,Moderate,Satisfactory,Satisfactory,Poor,Moderate,Moderate,Moderate,,,,,,,
2019-03-29,Severe,Moderate,Satisfactory,Poor,Very Poor,Satisfactory,Moderate,Poor,Poor,Satisfactory,Moderate,Moderate,Moderate,Satisfactory,Satisfactory,Poor,Moderate,Moderate,Poor,,,,,,,
2019-03-30,Severe,Moderate,Satisfactory,Poor,Very Poor,Moderate,Moderate,Poor,Poor,Moderate,Moderate,,Moderate,Satisfactory,Satisfactory,Poor,Moderate,Satisfactory,Poor,,,,,,,
2019-03-31,Severe,Moderate,Satisfactory,Moderate,Poor,Satisfactory,Moderate,Moderate,Moderate,Moderate,Satisfactory,,Moderate,Satisfactory,Satisfactory,Poor,Poor,Moderate,Poor,,,,,,,
2019-04-01,Very Poor,Moderate,Moderate,Moderate,Moderate,Satisfactory,Moderate,Moderate,Moderate,Moderate,Satisfactory,,Moderate,Satisfactory,Moderate,Moderate,Moderate,Satisfactory,Satisfactory,,,,,,,
2019-04-02,Severe,Moderate,Moderate,Moderate,Poor,Satisfactory,Moderate,Moderate,Moderate,Moderate,Moderate,Satisfactory,Moderate,Satisfactory,Satisfactory,Moderate,Moderate,Satisfactory,Moderate,,,,,,,
2019-04-03,Severe,Moderate,Moderate,Poor,Poor,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Satisfactory,Satisfactory,Poor,Moderate,Satisfactory,Satisfactory,,,,,,,
2019-04-04,Severe,Moderate,Satisfactory,Poor,Very Poor,Satisfactory,Moderate,Moderate,Moderate,Satisfactory,Moderate,Moderate,Moderate,Satisfactory,Satisfactory,Very Poor,Moderate,Satisfactory,Moderate,,,,,,,
2019-04-05,Severe,Moderate,Satisfactory,Poor,Very Poor,Satisfactory,Satisfactory,Moderate,Poor,Satisfactory,Moderate,Moderate,Moderate,Satisfactory,Satisfactory,Very Poor,Moderate,Satisfactory,Satisfactory,,,,,,,
2019-04-06,Severe,Moderate,Moderate,Poor,Poor,Satisfactory,Satisfactory,Satisfactory,Poor,Satisfactory,Moderate,Moderate,Moderate,Satisfactory,Satisfactory,,Moderate,Satisfactory,Satisfactory,,,,,,,
2019-04-07,Severe,Moderate,Satisfactory,Very Poor,Moderate,Satisfactory,Satisfactory,Moderate,Very Poor,Moderate,Moderate,Satisfactory,Moderate,Satisfactory,Moderate,,Moderate,Satisfactory,Moderate,,,,,,,
2019-04-08,Severe,Moderate,Satisfactory,Poor,Moderate,Satisfactory,Satisfactory,Moderate,Very Poor,Satisfactory,Satisfactory,Satisfactory,Severe,Satisfactory,Satisfactory,,Satisfactory,Satisfactory,Satisfactory,,,,,,,
2019-04-09,Severe,Moderate,Moderate,Poor,Moderate,Satisfactory,Satisfactory,Moderate,Poor,Satisfactory,Moderate,Satisfactory,Moderate,Satisfactory,Satisfactory,,Moderate,Satisfactory,Satisfactory,,,,,,,
