Date,Bengaluru,Chennai,Delhi,Lucknow,Hyderabad,Visakhapatnam,Amritsar,Jaipur,Thiruvananthapuram,Amaravati
2017-12-17,46.53,249.01,35.36,50.09,15.98,14.04,0.15,17.79,6.56,18.52
2017-12-18,55.78,292.82,45.71,51.3,16.89,13.05,0.17,15.82,6.14,18.49
2017-12-19,65.03,185.64,56.27,47.94,14.23,11.15,0.36,18.55,6.16,19.66
2017-12-20,57.13,286.59,78.25,44.06,17.75,12.09,0.67,18.16,6.6,17.37
2017-12-21,49.98,166.91,72.97,50.96,20.76,12.53,4.86,13.97,6.23,17.28
2017-12-22,37.0,242.56,55.36,55.77,24.14,13.92,3.37,11.92,6.11,19.53
2017-12-23,80.1,276.08,51.89,51.04,24.8,16.66,3.42,24.43,5.83,20.78
2017-12-24,84.26,265.09,73.83,50.56,25.5,16.56,3.66,23.84,5.38,23.68
2017-12-25,72.53,244.15,68.61,52.94,24.11,16.31,3.76,26.06,5.05,21.66
2017-12-26,37.01,161.15,62.83,51.05,24.77,17.16,3.62,49.34,9.86,22.52
2017-12-27,9.77,249.49,71.71,49.9,17.06,14.37,3.81,61.28,10.06,21.06
2017-12-28,10.45,192.98,79.07,49.48,16.52,11.48,3.32,7.12,9.19,18.87
2017-12-29,9.6,207.46,68.22,53.46,18.82,11.33,3.34,13.34,9.12,18.2
2017-12-30,8.98,180.82,75.04,53.78,17.46,12.22,3.51,18.14,10.6,16.86
2017-12-31,,181.06,83.55,54.29,18.74,12.58,3.78,24.48,9.57,17.82
2018-01-01,,175.58,73.16,54.74,25.09,11.68,3.71,23.53,8.34,18.03
2018-01-02,,188.29,55.61,52.31,22.84,11.86,3.93,27.08,9.27,19.57
2018-01-03,,219.26,50.81,52.42,23.34,13.35,3.65,43.26,11.36,25.61
2018-01-04,,165.62,55.17,51.9,25.77,21.58,,34.61,9.93,19.45
2018-01-05,,202.45,51.36,50.49,23.67,14.24,,25.52,11.15,21.02
2018-01-06,,112.41,63.78,49.05,23.17,13.74,,24.31,11.25,18.71
2018-01-07,,110.73,50.09,49.78,22.16,15.97,,19.83,10.54,20.18
2018-01-08,,140.2,47.52,50.55,19.8,15.67,,31.07,10.15,21.59
2018-01-09,,145.13,58.65,51.86,22.57,15.07,,27.98,11.01,17.71
2018-01-10,45.45,162.93,48.38,52.24,22.15,16.65,,34.2,10.88,22.35
2018-01-11,48.27,72.38,47.42,52.21,24.42,19.8,,33.45,7.89,23.66
2018-01-12,42.34,113.39,55.07,52.73,25.98,21.94,13.86,48.84,7.09,24.74
2018-01-13,41.38,125.32,75.88,51.37,22.44,22.54,14.23,59.68,7.43,20.06
2018-01-14,36.21,106.54,55.35,50.05,23.14,27.2,16.76,42.31,6.23,21.23
2018-01-15,33.68,113.32,54.6,49.7,23.39,19.15,15.85,43.52,6.37,20.38
2018-01-16,36.95,104.84,43.23,53.15,24.56,20.14,14.3,49.67,6.73,18.78
2018-01-17,36.51,100.53,52.37,52.78,22.08,17.26,14.02,31.7,7.53,20.29
2018-01-18,34.11,91.94,59.73,51.67,25.42,14.19,14.16,33.4,9.28,21.68
2018-01-19,36.27,108.54,63.31,46.14,22.32,14.41,14.11,37.71,9.1,21.32
2018-01-20,40.27,108.56,66.51,52.38,27.24,16.32,13.97,29.4,9.12,21.88
2018-01-21,45.24,103.69,63.25,51.64,25.79,18.07,13.92,38.1,10.24,19.33
2018-01-22,50.22,101.27,63.15,47.15,25.72,18.96,13.85,24.09,9.42,19.12
2018-01-23,57.58,110.34,51.07,37.18,19.96,19.17,14.05,19.99,8.35,20.29
2018-01-24,68.02,93.14,43.08,50.41,24.15,18.4825,14.0,28.49,9.33,21.11
