Date,Ahmedabad,Bengaluru,Chennai,Delhi,Lucknow,Hyderabad,Patna,Gurugram,Visakhapatnam,Amritsar,Jorapokhar,Jaipur,Thiruvananthapuram,Amaravati
2017-11-20,6.84,10.9,8.23,24.44,10.67,7.6,17.17,6.83,5.91,54.15,7.928,2.88,1.83,
2017-11-21,15.17,12.88,11.55,32.84,11.57,10.73,16.6,7.58,4.55,61.57,8.172,4.38,2.02,
2017-11-22,15.07,12.04,10.58,30.75,13.66,6.79,20.28,6.0,4.52,76.45,8.416,10.86,1.79,
2017-11-23,24.0,11.09,10.58,34.73,13.14,11.04,9.56,5.76,11.25,68.04,8.66,30.6,1.89,
2017-11-24,45.76,12.17,11.82,44.24,11.99,6.26,36.01,7.67,8.14,82.14,9.56,57.13,1.96,1.75
2017-11-25,37.88,15.43,8.44,45.12,25.07,5.34,37.56,8.82,11.08,93.94,8.59,38.44,2.03,1.44
2017-11-26,55.69,15.31,6.32,77.85,11.0,8.98,19.26,15.55,1.39,100.06,8.85,72.8,1.98,1.26
2017-11-27,69.71,16.9,7.37,45.64,11.95,9.81,11.34,9.91,8.62,73.78,9.11,65.54,1.92,6.6
2017-11-28,55.08,15.56,6.88,61.44,25.23,10.31,28.68,14.73,14.68,83.19,8.22,80.68,1.87,2.56
2017-11-29,14.63,11.01,11.52,109.88,101.11,7.04,62.56,16.7,10.83,90.92,7.0,57.83,1.9,5.23
2017-11-30,40.22,10.38,8.12,71.11,72.96,9.05,67.29,23.95,5.43,86.92,,38.97,2.0,4.69
2017-12-01,30.39,8.52,6.48,61.21,106.63,8.67,34.97,30.25,11.77,96.96,,27.9,2.01,4.58
2017-12-02,6.14,8.64,8.33,80.33,54.29,7.02,62.58,26.52,6.08,79.18,,23.26,2.02,7.71
2017-12-03,5.49,13.43,9.93,67.41,44.37,7.22,21.78,17.65,1.3,66.72,,30.36,1.98,0.97
2017-12-04,5.78,13.35,8.57,74.66,29.32,6.46,25.96,12.7,6.35,47.23,,18.38,2.04,4.02
2017-12-05,5.9,12.38,9.81,61.13,17.21,6.29,32.13,7.53,19.59,47.7,,18.1,2.053333333333333,3.7
2017-12-06,5.46,12.0,9.12,23.19,12.01,6.0,31.09,10.38,18.76,8.1,,7.3,2.0666666666666664,1.6
2017-12-07,7.19,15.06,7.54,24.67,11.68,7.77,18.02,9.46,6.82,19.15,,15.21,2.08,4.26
2017-12-08,5.58,28.0,8.84,23.86,12.51,2.82,23.4,10.19,3.86,31.82,,16.03,1.92,5.56
2017-12-09,5.9,21.48,11.23,60.14,54.19,3.04,136.74,9.49,10.14,38.13,,24.49,1.87,6.1
2017-12-10,26.28,17.62,14.24,102.0,55.31,4.44,112.77,9.51,16.77,33.67,,10.58,2.04,1.73
2017-12-11,28.06,8.19,8.6,97.35,36.96,8.39,110.69,10.92,8.91,25.9,,5.95,1.97,4.93
2017-12-12,15.98,7.87,15.54,22.41,50.36,12.01,42.92,24.26,21.61,25.21,,9.45,1.9,7.97
2017-12-13,20.79,10.44,10.48,20.14,11.72,7.91,28.12,13.16,37.79,24.35,,8.86,2.05,7.2
2017-12-14,11.42,16.43,16.43,19.4,8.44,2.4,27.74,12.84,1.73,23.33,,6.87,1.97,5.81
2017-12-15,7.54,42.05,8.39,20.33,8.01,3.5,25.41,10.54,6.82,25.17,,8.16,1.95,4.19
2017-12-16,6.33,12.88,8.19,17.77,7.63,7.78,24.17,10.66,37.77,24.95,,7.24,2.27,8.77
2017-12-17,5.7,12.25,6.93,17.4,15.04,8.44,17.91,9.74,23.36,25.57,,11.36,1.99,7.29
2017-12-18,7.16,13.94,7.49,20.4,14.63,3.67,63.88,8.82,18.69,24.83,,7.31,2.05,7.63
2017-12-19,17.88,10.01,6.46,35.44,68.28,8.22,40.76,9.78,4.86,25.17,,15.53,2.15,2.74
2017-12-20,8.72,11.34,7.25,44.05,113.36,16.01,61.65,10.22,10.25,27.08,12.15,18.21,2.19,6.77
2017-12-21,7.78,10.59,10.07,32.3,42.66,18.07,12.63,10.64,4.24,20.54,10.7,14.66,2.24,7.02
2017-12-22,5.95,11.41,13.71,22.11,9.61,21.37,30.41,10.26,29.44,5.73,9.41,8.78,2.24,7.51
2017-12-23,25.81,10.11,12.3,31.51,27.36,10.07,70.66,10.17,27.63,6.3,9.85,56.27,2.27,5.24
2017-12-24,19.89,3.71,10.43,79.8,26.01,9.99,13.1,10.68,19.69,7.72,9.33,58.21,2.31,3.75
2017-12-25,29.6,4.58,8.82,61.55,18.8,8.37,33.89,9.98,6.88,8.0,8.969999999999999,28.68,2.33,1.69
2017-12-26,15.17,7.62,14.75,46.41,30.87,8.2,21.98,9.83,16.37,7.08,8.61,53.78,2.21,4.97
2017-12-27,26.95,6.4,10.49,58.71,41.47,6.1,33.79,5.65,15.87,8.73,9.37,51.83,1.83,9.59
2017-12-28,43.47,7.0,18.2,80.57,65.49,10.23,18.36,5.76,28.26,5.98,10.14,25.97,1.92,10.95
2017-12-29,30.55,10.82,11.21,70.6,37.62,12.65,10.77,8.55,9.07,5.9,10.72,40.39,1.91,6.14
2017-12-30,14.9,10.05,15.88,69.31,19.0,15.07,43.62,7.3,2.43,6.72,13.59,8.84,1.94,4.6
2017-12-31,6.85,11.9,8.51,83.77,12.19,13.13,30.96,86.04,1.62,8.56,15.66,7.82,1.94,5.51
2018-01-01,7.58,9.91,8.39,62.76,9.57,10.55,26.43,32.89,1.73,7.82,15.37,9.33,1.88,3.45
2018-01-02,9.26,7.16,9.6,31.26,36.7,5.81,16.8,45.23,1.69,9.53,9.7,16.88,1.96,3.87
2018-01-03,13.87,9.57,10.67,37.98,12.12,5.35,73.5,37.01,16.74,7.47,8.42,53.83,1.89,5.01
2018-01-04,19.42,6.77,8.71,35.56,13.96,10.82,24.37,31.09,66.29,,7.17,32.78,1.94,5.84
2018-01-05,25.96,7.99,8.96,38.73,18.05,12.4,12.28,24.25,42.93,,7.316666666666666,13.69,1.98,6.38
2018-01-06,31.55,7.64,7.67,65.27,30.98,9.24,48.42,35.19,63.93,,7.463333333333333,20.53,1.92,11.05
2018-01-07,23.19,8.23,8.91,26.49,35.25,8.91,69.54,33.04,51.53,,7.609999999999999,8.61,1.9,6.45
2018-01-08,8.91,5.06,7.85,37.51,25.08,7.08,60.44,28.99,25.73,,7.756666666666666,37.04,1.98,3.97
2018-01-09,5.86,6.83,8.66,62.59,25.68,6.41,22.22,26.66,2.04,,7.903333333333332,32.47,1.89,4.44
2018-01-10,16.31,6.82,8.24,34.44,18.32,7.01,51.44,17.31,19.01,,8.05,41.21,1.83,3.9
2018-01-11,44.57,11.14,8.95,30.06,19.85,7.06,52.26,14.64,33.55,,9.06,44.32,1.89,3.95
2018-01-12,30.4,8.15,9.91,40.02,15.11,10.88,66.51,27.34,34.94,4.95,9.72,59.36,1.87,4.54
2018-01-13,20.58,9.71,17.04,68.69,33.23,12.85,34.44,33.15,13.04,7.5,9.04,79.4,1.88,3.85
2018-01-14,22.69,10.94,11.78,36.32,38.7,14.16,13.0,27.22,36.34,23.65,8.48,33.6,1.91,3.65
2018-01-15,14.34,5.56,9.11,32.47,46.87,3.98,48.43,31.35,20.08,17.36,8.21,31.18,1.88,2.96
2018-01-16,44.01,7.45,8.78,31.78,12.28,5.75,88.3,15.4,12.64,7.18,9.56,23.76,1.79,3.22
2018-01-17,29.54,6.61,11.58,44.3,26.3,6.13,22.41,31.44,13.68,5.23,11.05,8.34,1.94,3.71
2018-01-18,32.42,6.75,14.74,48.32,46.68,11.21,25.15,38.58,22.29,5.84,9.83,16.86,1.84,7.36
2018-01-19,65.07,5.92,12.12,41.26,93.85,10.99,59.13,31.06,32.49,5.4,10.28,16.75,1.92,6.98
2018-01-20,52.45,5.78,11.7,21.5,21.64,12.5,36.34,15.76,36.89,5.62,10.07,7.76,1.94,9.56
2018-01-21,30.7,4.8,11.64,33.93,26.7,9.93,25.85,29.5,34.06,6.29,8.78,17.52,1.93,4.99
2018-01-22,9.92,3.95,12.08,54.86,43.71,5.81,28.45,26.79,21.82,5.36,11.74,6.84,1.84,5.98
2018-01-23,29.44,4.23,13.66,25.98,71.72,4.36,54.58,48.38,59.45,6.49,10.55,13.71,1.92,6.16
2018-01-24,52.63,8.52,13.56,25.05,11.42,4.69,24.51,49.55,45.0125,6.99,10.14,19.13,1.7,5.09
2018-01-25,89.57,5.5,14.15,24.28,12.06,12.11,7.18,30.11,30.575000000000003,7.44,8.64,40.34,1.54,8.4
2018-01-26,52.92,4.06,11.69,28.91,13.42,9.3,6.89,35.95,16.137500000000003,7.2,9.31,43.3,1.69,6.19
2018-01-27,15.17,5.03,11.77,34.29,12.78,7.53,40.04,28.83,1.7,15.42,8.82,36.15,1.67,6.1
2018-01-28,35.38,3.93,11.99,41.85,17.7,6.26,23.92,39.67,21.27,79.13,10.08,25.14,1.67,4.06
2018-01-29,65.27,4.67,12.29,45.81,17.19,5.49,17.11,52.22,13.37,56.09,10.12,20.02,1.76,4.3
2018-01-30,83.78,4.15,13.32,23.71,12.86,7.61,60.26,17.61,31.84,72.13,10.08,38.71,1.75,5.36
2018-01-31,42.54,4.4,15.19,22.07,11.85,14.36,31.92,18.17,17.43,71.85,8.49,29.36,1.78,8.28
2018-02-01,94.0,9.03,16.37,38.37,15.66,33.83,11.01,32.41,16.91,72.97,8.83,43.6,1.82,10.08
2018-02-02,15.14,5.9,14.88,34.69,48.6,21.51,12.22,39.61,20.17,66.62,9.06,19.29,1.91,6.48
2018-02-03,73.16,4.62,19.31,27.97,98.89,6.47,43.94,28.41,32.51,70.91,9.83,10.72,1.65,3.63
2018-02-04,71.48,4.32,14.04,22.5,12.92,4.91,35.43,21.47,26.6,57.49,10.89,11.65,1.69,7.91
2018-02-05,49.85,5.35,12.39,42.64,9.48,6.03,11.01,59.49,31.51,43.49,10.25,13.46,1.67,4.95
2018-02-06,25.46,3.97,11.72,28.45,8.8,13.91,5.38,60.15,43.41,28.66,8.97,14.14,1.71,3.21
2018-02-07,27.03,5.67,10.32,26.04,11.41,22.03,4.55,60.01,23.22,22.63,8.4,15.71,1.79,6.93
2018-02-08,48.11,13.58,10.76,66.23,10.91,14.55,4.07,60.59,18.01,18.92,8.6,16.79,1.66,2.91
2018-02-09,108.99,7.72,15.63,56.38,10.14,14.25,3.91,61.09,25.44,16.51,9.9,16.18,1.81,2.24
2018-02-10,124.01,8.37,12.89,71.59,18.07,7.15,4.06,58.98,12.38,30.58,9.54,10.99,1.83,2.76
2018-02-11,20.33,5.06,11.77,57.19,37.72,3.74,9.53,60.99,4.22,17.58,9.96,10.81,1.82,0.4
2018-02-12,28.93,5.34,9.24,16.51,12.11,3.15,10.85,65.1,1.59,12.79,10.25,7.94,1.77,0.54
2018-02-13,10.31,3.37,12.37,37.45,11.67,2.89,11.12,9.28,1.62,12.77,10.65,9.45,1.72,0.41
2018-02-14,6.17,3.69,11.08,16.31,12.45,4.19,6.58,11.5,0.98,16.37,8.42,11.22,1.71,0.25
2018-02-15,32.36,3.96,11.03,16.78,7.98,6.74,5.47,7.27,4.29,14.59,8.46,13.93,1.67,1.68
2018-02-16,36.67,6.66,9.31,24.78,7.58,8.45,6.76,12.58,3.63,18.6,14.5,24.19,1.57,1.94
2018-02-17,47.49,8.19,7.37,24.55,9.38,10.09,17.22,12.6,1.0,15.39,9.34,34.5,1.65,1.45
2018-02-18,108.73,3.13,10.66,35.15,13.24,10.42,26.08,19.53,0.44,15.28,9.89,16.87,1.79,15.9
2018-02-19,132.47,3.48,8.69,68.88,10.31,4.17,14.87,29.5,0.84,15.9,10.44,20.2,1.69,3.49
2018-02-20,74.41,2.78,7.8,56.44,23.01,4.48,23.56,,5.29,16.51,8.63,32.37,1.56,4.55
2018-02-21,66.96,5.45,6.76,72.82,95.81,5.07,20.78,,24.48,14.04,8.45,33.99,1.68,4.5
2018-02-22,92.86,7.04,9.14,59.65,45.77,4.83,17.23,,18.76,14.65,9.11,36.02,1.67,7.39
2018-02-23,134.85,3.84,9.06,59.63,75.28,5.72,8.04,,16.74,18.45,10.25,33.72,1.69,6.13
2018-02-24,81.33,3.63,6.97,47.09,38.5,4.92,10.55,,85.97,16.36,10.71,26.21,1.63,8.21
2018-02-25,27.81,3.17,8.77,25.0,9.7,8.22,8.85,,83.36,14.335,9.07,13.33,1.615,11.52
