Date,Bengaluru,Chennai,Delhi,Lucknow,Hyderabad,Patna,Jaipur,Thiruvananthapuram
02-04-2018,3,6.52,16.54,11.45,5.28,47.74,10.63,7.8
03-04-2018,3.91,6.48,17.36,12.52,5.64,52.83,9.35,6.01
04-04-2018,3.42,5.81,16.58,13.52,5.82,52.52,13.25,7.72
05-04-2018,3.39,7.03,19.67,9.71,4.72,50.91,11.46,8.52
06-04-2018,3.64,6.96,19.96,8.36,5.68,51.48,9.65,11.26
07-04-2018,3.55,4.99,10.48,7.21,9.13,50.36,8.96,7.86
08-04-2018,3.4,11.9,10.5,8.54,5.05,53.89,7.76,6.31
09-04-2018,3.34,28.17,10.77,8.84,6.94,47.09,7.84,4.92
10-04-2018,3.47,30.67,12.65,15.8,6.42,50.31,7.77,6.68
11-04-2018,3.4,20.43,11.21,10.96,6.12,52.73,6.34,6.59
12-04-2018,3.24,6.2,10.07,8.35,7.29,49.12,4.2,6.4
13-04-2018,3.56,5.03,13.37,10.62,5.19,47.52,7.09,5.33
14-04-2018,3.8,4.51,15.77,10.04,4.9,41.39,8.4,5.77
15-04-2018,3.42,3.97,17.56,12,5.47,42.86,7.43,5.38
16-04-2018,3.01,4.74,21.02,11.41,8.34,46.85,5.59,5.76
17-04-2018,2.74,3.34,13.57,12.56,5.64,48.2,7.5,6.29
18-04-2018,2.73,3.88,13.29,10.39,9.98,55.42,7.97,5.61
19-04-2018,6.9,3.44,16.76,10.77,10.51,53.16,7.73,5.74
20-04-2018,2.28,4.3,15.55,11.88,9.2,49.72,9.92,5.67
21-04-2018,2.7,3.77,12.08,9.43,10.1,49.2,6.64,7.09
22-04-2018,3.94,3.78,16.92,10.77,7.55,51.38,8.73,6.37
23-04-2018,3.94,3.35,12.89,10.81,6.52,46.7,6.96,7.11
24-04-2018,4.05,4.11,17.01,12.27,6.92,50.74,9.55,6.11
25-04-2018,4.06,3.37,15.1,14.96,6.07,49.87,9.46,4.82
26-04-2018,5.71,5.12,17.89,12.84,6.99,50.34,10.84,6.16
27-04-2018,5.25,5.02,12.96,10.43,7.12,41.91,10.29,6.46
28-04-2018,5.54,4.86,12.38,12.83,6.84,50.06,7.69,5.78
29-04-2018,6.03,3.63,16.1,12,7.72,47.85,5.78,7.98
30-04-2018,5.46,3.97,11.9,9.26,9.74,48.92,5.95,6.53
01-05-2018,6.12,3.39,8.8,10.28,7.94,50.23,7.74,6.11
02-05-2018,9.43,5.4,7.65,10.77,5.92,50.67,5.51,5.52
03-05-2018,5.83,7.39,9.52,9.62,5.45,49.65,7.75,5.02
04-05-2018,6.65,4.36,9.06,10.9,6.1,41.48,7.2,6.05
05-05-2018,4.22,4.32,11.85,10.09,5.94,46.87,8.75,6.5
06-05-2018,5.71,5.11,14.61,11.07,6.47,44.43,8.65,5.61
07-05-2018,5.1,20.65,16.31,10.68,6.91,45.99,10.8,6.59
08-05-2018,6.3,9.24,6.97,13,7.8,41.82,7.31,5.77
09-05-2018,5.64,6.74,12.35,10.26,6.11,41.89,8.61,5.79
10-05-2018,5.31,7.95,12.02,8.27,5.28,38.75,8.44,6.3
11-05-2018,5.48,5.67,16.58,11.04,6.44,44.68,9.23,6.78
12-05-2018,4.33,6.1,17.75,13.17,5.79,44.45,9.43,6.54
13-05-2018,5.76,6.18,11.48,10.5,6.11,39.58,10.77,7.13
14-05-2018,7.1,6.23,11.3,8.98,5.38,48.95,10.47,6.43
15-05-2018,6.35,6.55,11.9,9.89,4.84,40.03,10.55,7.11
16-05-2018,6.26,6.31,9.25,10.52,8.26,51.23,11.15,6.16
17-05-2018,5.16,7.82,13.61,10.36,9.18,49.64,12.09,4.77
18-05-2018,4.09,5.65,13.97,11.03,6.93,45.29,11.27,5.58
19-05-2018,4.82,6.8,12.48,10.19,8.04,46.76,8.6,5.87
20-05-2018,4.3,7.94,12.65,7.18,6.25,48.47,9.45,4.19
21-05-2018,4.51,6.83,12.73,6.2,6.97,43.55,9.83,5.19
22-05-2018,3.12,6.22,15.56,9.41,7.04,42.66,11.69,6.47
23-05-2018,4.33,6.03,17.57,10.76,6.22,43.77,11.24,6.99
24-05-2018,4.77,6.28,17.78,8.21,6.42,45.56,16.49,6.68
25-05-2018,4.87,6.2,12.73,8.63,6.99,39.32,10.24,3.77
26-05-2018,3.78,6.46,14.9,9.37,4.39,32.15,12.22,5.08
27-05-2018,3.86,5.25,11.59,7.56,6.26,37.77,10.01,4.98
28-05-2018,4.26,5.48,15.54,7.09,5.77,36.85,15.87,5.22
29-05-2018,3.57,5.4,11.93,7.03,6.41,30.11,10.39,5.53
30-05-2018,3.68,6.2,8.58,6.64,6.53,39.04,10.23,4.93
31-05-2018,3.55,5.1,9.71,6.46,5.81,39.17,10.31,5.15
01-06-2018,3.69,4.68,8.24,7.22,6.76,39.18,12.89,6.04
02-06-2018,6.55,4.91,9.08,7.39,6.87,39.07,11.85,5.44
03-06-2018,4.18,6.62,7.79,7.86,7.11,39.56,10.85,4.82
04-06-2018,4.39,6.78,8.14,7.28,7.1,39.99,11.14,5.28
05-06-2018,6.31,6.24,7.51,8.05,7.18,39.36,9.03,5.86
06-06-2018,7.21,5.87,9.34,8.73,7.06,35.13,8.07,6.22
07-06-2018,5.85,5.12,10.1,9.96,5.17,36.07,8.76,6.53
08-06-2018,6.23,6.26,7.75,9.92,6.1,35.82,8.28,4.84
09-06-2018,5.35,5.8,6.41,10.68,6.84,37.58,10.74,6
10-06-2018,5.19,6.33,7.35,10.4,7.35,35.42,11.19,5.36
11-06-2018,4.66,5.87,6.94,10,8.45,34.43,9.54,5.64
12-06-2018,3.37,6.19,8.73,10.03,10.11,39.02,10.04,5.95
13-06-2018,4,5.75,6.91,9.01,7.58,45.415,9.3,4.97
14-06-2018,2.91,5.64,7.22,10.09,8.26,51.81,6.74,5.79
15-06-2018,3.21,5.95,7.31,9.1,9.66,26.85,9.06,5.97
16-06-2018,3.24,4.42,7.29,9.48,8.96,33.13,9.4,5.94
17-06-2018,3.83,4.97,6.18,8.56,9.83,35,9.07,5.44
18-06-2018,4.93,6.27,7.71,8.72,8.6,35.86,9.68,5.25
19-06-2018,4.53,6.21,6.5,7.24,6.94,42.54,8.23,6.17
20-06-2018,4.83,5.71,10.05,8.89,6.5,41.49,13.27,5.1
21-06-2018,5.1,5.9,9.73,11.23,6.21,38.08,13.19,6
22-06-2018,4.68,5.65,12.38,9.06,6.19,37.85,10.2,5.57
23-06-2018,4.7,4.85,11.68,7.89,6.35,38.09,10.28,5.87
24-06-2018,4.64,5.48,13.73,7.96,6.42,36.95,9.77,5.83
25-06-2018,4.79,6.06,12.17,8.24,6.36,37.88,8.21,5.71
26-06-2018,4.78,5.28,13.16,8.46,5.93,42.11,9.73,5.67
27-06-2018,4.87,5.84,10.43,8.77,4.6,38.31,9.54,5.64
28-06-2018,5.5,5.57,8.48,8.2,5.05,39,10.02,6.63
29-06-2018,5.95,5.21,9.36,7.9,5.38,39.94,8.04,5.19
30-06-2018,6.63,6.16,9.55,7.89,6.64,35.09,9.04,5.16
01-07-2018,6.11,5.51,8.53,9.93,7.1,39.85,10.73,6.42
02-07-2018,6.9,6.51,8.82,11.07,5.74,40.03,10.97,5.33
03-07-2018,7.51,5.53,10.11,6.68,5.56,42.75,11.7,6.47
04-07-2018,6.49,5.74,10.14,5.46,5.95,34.38,11,6.52
05-07-2018,6.47,5.91,11.14,5.36,6.07,39.4,9.44,5.86
06-07-2018,6.63,5.73,10.27,6.03,5.06,41,10.3,6.89
07-07-2018,7.2,4.83,10.4,8.27,5.19,46.94,10.34,5.85
08-07-2018,7.09,6.22,11.6,7.23,5.61,89.52,10.72,5.98
09-07-2018,7.5,5.42,11,5.88,5.45,58.78,9.83,7.12
10-07-2018,7.49,5.36,10.92,6.69,5.47,46.2,8.84,6.66
11-07-2018,8.27,6.56,11.26,6.62,4.83,50.3,8.4,7
12-07-2018,8.6,6.04,10.92,8.67,4.96,58.06,9.51,5.75
13-07-2018,7.14,5.81,10.69,6.54,6.21,80.92,10.32,5.02
14-07-2018,7.47,4.79,11.13,7.59,6.88,78.96,8.47,6.97
15-07-2018,6.66,5.74,10.64,6.13,6.66,56.12,8.56,6.22
16-07-2018,7.32,5.79,9.51,5.74,8.75,46.43,9.6,4
17-07-2018,7.56,7.06,10.2,6.6,6.46,54.19,9.32,5.61
18-07-2018,7.75,11.13,11.04,7.75,6.95,55.64,10.16,6.37
19-07-2018,7.58,7.33,11.14,8.38,7.32,57.14,9.16,6.38
20-07-2018,7.49,6.12,10.4,7.26,9.52,45.51,8.33,5.93
21-07-2018,7.68,6.79,11.2,6.49,9.11,51.68,7.23,5.89
22-07-2018,8.01,8.48,9.85,5.85,9.22,51.57,6.87,5.17
23-07-2018,7.9,6.89,10.43,6.36,7.41,51.78,8.89,6.24
24-07-2018,7.08,6.18,10.78,5.55,5.87,48.07,12.59,5.13
25-07-2018,7.68,8.34,9.99,6.31,6.55,55.45,10.01,6.28
26-07-2018,7.55,11.1,9.27,6.17,7.06,80.07,8.96,6.06
27-07-2018,7.46,5.64,9.13,6.35,6.46,51.81,9.81,6.64
28-07-2018,6.84,6.54,9.55,5.46,6.09,44.84,8.71,5.73
29-07-2018,6.51,9.83,9.37,5.51,7.2,32.85,9.76,5.23
30-07-2018,7.18,7.12,8.96,4.93,6.79,21.96,10.03,5.99
31-07-2018,6.44,6.08,9.12,5.77,6.8,8.74,9.76,5.48
01-08-2018,6,6.97,9.71,5.21,6.2,12.44,8.75,5.96
02-08-2018,6.28,6.19,10.22,5.23,6.61,15.77,8.6,4.65
03-08-2018,6.5,7.57,9.48,5.51,7.02,28.32,9.41,5.55
04-08-2018,6.8,5.68,9.61,5.05,6.63,20.96,10.74,6.02
05-08-2018,7.15,5.85,9.86,5.78,6.37,21.21,9.3,5.43
06-08-2018,5.94,5.49,9.4,6.1,7.05,15.58,10.37,4.48
07-08-2018,6.18,5.8,10.65,7.55,8.15,17.96,8,5.95
08-08-2018,6.68,5.96,9.47,7.87,7.42,15.27,7.59,6.03
09-08-2018,6.27,6.67,9.85,7.5,5.9,12.46,9.74,4.98
10-08-2018,7.52,6.22,9.66,6.57,6.07,13.15,11.08,4.96
11-08-2018,6.44,7.81,8.84,5.79,6.09,10.84,7.66,5.82
