Date,Bengaluru,Chennai,Delhi,Lucknow,Hyderabad,Patna,Gurugram,Amritsar,Jaipur,Thiruvananthapuram
07-01-2018,49.36,15.6,47.02,53.94,55.39,96.31,20.24,50.26,58.29,10.07
08-01-2018,46.38,16.08,51.6,58.74,51.85,93.6,19.77,55.34,76.84,17.84
09-01-2018,43.41,14.02,66.19,45.21,53.96,43.78,19.26,60.43,69.36,18.3
10-01-2018,29.81,14.84,60.21,46.46,53.36,56.84,25.92,65.52,85.95,15.68
11-01-2018,45.27,18.07,63.57,48.82,59.3,78.47,20.41,70.61,102.56,15.84
12-01-2018,36.51,17.84,65.3,54.54,64.97,92.22,17.25,75.7,73.96,15.32
13-01-2018,43.3,20.65,61.28,52.45,59.98,69.93,18.55,78.17,81.74,14.84
14-01-2018,44.87,14.82,54.37,62.82,54.79,30.04,20.07,94.18,27.88,10.5
15-01-2018,33.96,11.26,52.51,61.77,37.89,63.83,20.9,86.72,16.57,15.14
16-01-2018,41.68,11,46.86,45.9,39.7,80.13,23.32,79.22,14.07,17.55
17-01-2018,37.47,16.94,47.86,47.58,45.06,34.98,24.21,77.4,16.29,15.92
18-01-2018,39.62,20.78,55.08,46.32,55.84,28.23,21.92,78.11,13.42,14.03
19-01-2018,38.68,20.38,49.45,54.83,56.03,47.74,25.37,77.61,14.47,16.13
20-01-2018,38.67,22.48,38.87,49.43,60.93,64.21,30.89,76.93,17.15,18.91
21-01-2018,33.77,20.48,44.09,49.76,56.67,65.33,23.21,76.91,18.37,12.51
22-01-2018,34.14,20.41,56.45,51.54,50.74,44.39,24.56,77.1,17.24,17.52
23-01-2018,35.2,19.77,47.26,49.56,46.04,70.96,20.49,78.77,22.56,16.8
24-01-2018,44.92,21.32,35.33,37.49,42.71,38.37,19.16,78.52,40.92,13.4
25-01-2018,33.76,21,40.13,31.58,54.52,22,19.98,79.24,43.76,11.85
26-01-2018,32.42,18.96,38.17,35.09,56.49,9.39,21.07,79.01,47.69,14.22
27-01-2018,36.38,19.89,45.14,36.02,55.38,45.47,22.67,60.24,35.06,11.75
28-01-2018,30.66,18.29,47.6,38.93,49.3,23.39,21.79,34.3,32.42,13.8
29-01-2018,36.21,18.74,54.51,45.62,46.08,14.36,19.5,45.86,31.76,16.42
30-01-2018,32.79,22.09,47.59,34.43,51.91,85.07,25.17,47.57,42.64,12.11
31-01-2018,36.09,23.76,45.46,26.38,59.99,73.46,24.49,53.42,34.65,14.05
01-02-2018,49.14,22.16,63.88,33.39,67.8,15.13,21.94,54.79,19.91,9.16
02-02-2018,42.78,19.5,54.28,40.26,68.01,8.15,20.99,59.83,18.69,21.42
03-02-2018,33.25,21.27,51.46,54.6,53.31,94.99,22.73,65.5,22.09,16.6
