Date,Bengaluru,Chennai,Delhi,Lucknow,Hyderabad,Patna,Gurugram,Visakhapatnam,Jaipur,Thiruvananthapuram
28-12-2017,7,18.2,80.57,65.49,10.23,18.36,5.76,28.26,25.97,1.92
29-12-2017,10.82,11.21,70.6,37.62,12.65,10.77,8.55,9.07,40.39,1.91
30-12-2017,10.05,15.88,69.31,19,15.07,43.62,7.3,2.43,8.84,1.94
31-12-2017,11.9,8.51,83.77,12.19,13.13,30.96,86.04,1.62,7.82,1.94
01-01-2018,9.91,8.39,62.76,9.57,10.55,26.43,32.89,1.73,9.33,1.88
02-01-2018,7.16,9.6,31.26,36.7,5.81,16.8,45.23,1.69,16.88,1.96
03-01-2018,9.57,10.67,37.98,12.12,5.35,73.5,37.01,16.74,53.83,1.89
04-01-2018,6.77,8.71,35.56,13.96,10.82,24.37,31.09,66.29,32.78,1.94
05-01-2018,7.99,8.96,38.73,18.05,12.4,12.28,24.25,42.93,13.69,1.98
06-01-2018,7.64,7.67,65.27,30.98,9.24,48.42,35.19,63.93,20.53,1.92
07-01-2018,8.23,8.91,26.49,35.25,8.91,69.54,33.04,51.53,8.61,1.9
08-01-2018,5.06,7.85,37.51,25.08,7.08,60.44,28.99,25.73,37.04,1.98
09-01-2018,6.83,8.66,62.59,25.68,6.41,22.22,26.66,2.04,32.47,1.89
10-01-2018,6.82,8.24,34.44,18.32,7.01,51.44,17.31,19.01,41.21,1.83
11-01-2018,11.14,8.95,30.06,19.85,7.06,52.26,14.64,33.55,44.32,1.89
12-01-2018,8.15,9.91,40.02,15.11,10.88,66.51,27.34,34.94,59.36,1.87
13-01-2018,9.71,17.04,68.69,33.23,12.85,34.44,33.15,13.04,79.4,1.88
14-01-2018,10.94,11.78,36.32,38.7,14.16,13,27.22,36.34,33.6,1.91
15-01-2018,5.56,9.11,32.47,46.87,3.98,48.43,31.35,20.08,31.18,1.88
16-01-2018,7.45,8.78,31.78,12.28,5.75,88.3,15.4,12.64,23.76,1.79
17-01-2018,6.61,11.58,44.3,26.3,6.13,22.41,31.44,13.68,8.34,1.94
18-01-2018,6.75,14.74,48.32,46.68,11.21,25.15,38.58,22.29,16.86,1.84
19-01-2018,5.92,12.12,41.26,93.85,10.99,59.13,31.06,32.49,16.75,1.92
20-01-2018,5.78,11.7,21.5,21.64,12.5,36.34,15.76,36.89,7.76,1.94
21-01-2018,4.8,11.64,33.93,26.7,9.93,25.85,29.5,34.06,17.52,1.93
22-01-2018,3.95,12.08,54.86,43.71,5.81,28.45,26.79,21.82,6.84,1.84
23-01-2018,4.23,13.66,25.98,71.72,4.36,54.58,48.38,59.45,13.71,1.92
24-01-2018,8.52,13.56,25.05,11.42,4.69,24.51,49.55,45.0125,19.13,1.7
25-01-2018,5.5,14.15,24.28,12.06,12.11,7.18,30.11,30.575,40.34,1.54
26-01-2018,4.06,11.69,28.91,13.42,9.3,6.89,35.95,16.1375,43.3,1.69
27-01-2018,5.03,11.77,34.29,12.78,7.53,40.04,28.83,1.7,36.15,1.67
28-01-2018,3.93,11.99,41.85,17.7,6.26,23.92,39.67,21.27,25.14,1.67
29-01-2018,4.67,12.29,45.81,17.19,5.49,17.11,52.22,13.37,20.02,1.76
30-01-2018,4.15,13.32,23.71,12.86,7.61,60.26,17.61,31.84,38.71,1.75
31-01-2018,4.4,15.19,22.07,11.85,14.36,31.92,18.17,17.43,29.36,1.78
01-02-2018,9.03,16.37,38.37,15.66,33.83,11.01,32.41,16.91,43.6,1.82
02-02-2018,5.9,14.88,34.69,48.6,21.51,12.22,39.61,20.17,19.29,1.91
03-02-2018,4.62,19.31,27.97,98.89,6.47,43.94,28.41,32.51,10.72,1.65
04-02-2018,4.32,14.04,22.5,12.92,4.91,35.43,21.47,26.6,11.65,1.69
05-02-2018,5.35,12.39,42.64,9.48,6.03,11.01,59.49,31.51,13.46,1.67
06-02-2018,3.97,11.72,28.45,8.8,13.91,5.38,60.15,43.41,14.14,1.71
07-02-2018,5.67,10.32,26.04,11.41,22.03,4.55,60.01,23.22,15.71,1.79
08-02-2018,13.58,10.76,66.23,10.91,14.55,4.07,60.59,18.01,16.79,1.66
09-02-2018,7.72,15.63,56.38,10.14,14.25,3.91,61.09,25.44,16.18,1.81
10-02-2018,8.37,12.89,71.59,18.07,7.15,4.06,58.98,12.38,10.99,1.83
11-02-2018,5.06,11.77,57.19,37.72,3.74,9.53,60.99,4.22,10.81,1.82
12-02-2018,5.34,9.24,16.51,12.11,3.15,10.85,65.1,1.59,7.94,1.77
13-02-2018,3.37,12.37,37.45,11.67,2.89,11.12,9.28,1.62,9.45,1.72
14-02-2018,3.69,11.08,16.31,12.45,4.19,6.58,11.5,0.98,11.22,1.71
15-02-2018,3.96,11.03,16.78,7.98,6.74,5.47,7.27,4.29,13.93,1.67
16-02-2018,6.66,9.31,24.78,7.58,8.45,6.76,12.58,3.63,24.19,1.57
17-02-2018,8.19,7.37,24.55,9.38,10.09,17.22,12.6,1,34.5,1.65
18-02-2018,3.13,10.66,35.15,13.24,10.42,26.08,19.53,0.44,16.87,1.79
19-02-2018,3.48,8.69,68.88,10.31,4.17,14.87,29.5,0.84,20.2,1.69
20-02-2018,2.78,7.8,56.44,23.01,4.48,23.56,28.51,5.29,32.37,1.56
21-02-2018,5.45,6.76,72.82,95.81,5.07,20.78,27.52,24.48,33.99,1.68
22-02-2018,7.04,9.14,59.65,45.77,4.83,17.23,26.54,18.76,36.02,1.67
23-02-2018,3.84,9.06,59.63,75.28,5.72,8.04,25.55,16.74,33.72,1.69
24-02-2018,3.63,6.97,47.09,38.5,4.92,10.55,24.56,85.97,26.21,1.63
25-02-2018,3.17,8.77,25,9.7,8.22,8.85,23.57,83.36,13.33,1.615
26-02-2018,7.96,11.45,14.44,6.93,22.13,8.01,22.58,15.01,13.97,1.6
27-02-2018,7.4,9.38,24.54,7.25,20.92,7.3,21.6,11.32,15.35,1.7
28-02-2018,7.13,11.08,42.48,8.49,20.73,8.88,20.61,16.79,13.49,1.69
01-03-2018,4.8,11.48,45.93,10.86,14.31,11.4,19.62,14.87,11.57,1.59
02-03-2018,4.88,9.87,46.05,8.91,10.11,4.53,16.01,12.4,10.77,1.68
03-03-2018,6.26,7.44,26.84,10.91,4.25,3.13,13.82,7.76,10.81,1.71
04-03-2018,3.02,8.74,25.27,13.14,7.81,6.14,17.13,9.1,11.9,1.69
05-03-2018,7.78,8.23,24.87,8.88,4.59,5.4,16.59,10.51,9.04,1.62
06-03-2018,5.78,14,15.1,8.84,3.86,4.62,12.38,5.95,12.09,1.62
07-03-2018,3.4,10.69,25.71,11.19,5.37,5.6,11.77,13.35,15.66,1.62
08-03-2018,4.18,24.42,60.76,19.28,6.73,8.13,16.7,2.52,13.12,1.64
09-03-2018,12.31,10.82,45.51,13.76,4.89,6.82,17.25,2.12,8.88,1.65
10-03-2018,4.32,12.02,16.27,9.53,4.83,4.65,16.46,12.17,7.93,1.64
11-03-2018,2.76,8.1,23.14,10.28,2.68,6.01,9.25,7.35,13.06,1.73
12-03-2018,3.16,7.95,28.38,11.36,3.74,22.56,17.74,9.02,14.24,1.66
13-03-2018,4.21,8.06,41.54,15.6,4.44,43.87,26.5,10.99,15.03,1.63
14-03-2018,3.6,8.51,60.02,52.89,5.1,42.8,13.71,9.77,11.63,1.55
15-03-2018,8.41,10.02,36.34,27.38,3.96,16.25,16.18,16.56,12.56,1.65
16-03-2018,7.07,8.36,27.56,10.59,3.98,17.46,18.42,7.66,9.71,1.57
17-03-2018,5.6,10.02,21.81,10.09,3.01,8.46,11.23,9.9,7.91,1.71
18-03-2018,3.76,14.05,18.88,9.06,4.13,6.1,18.48,8.91,6.73,1.63
19-03-2018,4.22,12.84,28.38,10.2,4.21,23.28,22.37,7.26,7.62,1.56
20-03-2018,4.42,15.15,44.27,11.53,5.57,12.95,25.31,8.08,9.1,1.74
