Date,Bengaluru,Delhi,Hyderabad,Jaipur,Thiruvananthapuram
29-10-2018,101.84,427.06,130.4,172.78,84.26
30-10-2018,109.55,459.45,121.32,168.18,90.58
31-10-2018,106.07,405.94,120.91,192.07,83.3
01-11-2018,66.49,416.97,109.17,159.56,68.11
02-11-2018,56.53,373.61,76.12,139.07,77.95
03-11-2018,63.23,298.85,59.8,111.45,27.28
04-11-2018,77.72,179.85,48.95,155.07,45.52
05-11-2018,90.86,500.01,68.87,96.51,78.08
06-11-2018,116.55,312.87,94.97,143.3,86.88
07-11-2018,107.56,300.54,103.16,147.91,65.46
08-11-2018,108.02,509.73,109.93,228.55,73.19
09-11-2018,98.45,440.76,125.75,256.31,60.82
10-11-2018,88.44,447.4,136.07,243.42,53.9
11-11-2018,101.12,425.12,129.81,171.85,54.12
12-11-2018,120.24,464.28,148.54,171.55,63.39
13-11-2018,130.84,441.43,150.01,193.07,59.67
14-11-2018,143.53,225.77,159.01,120.91,87.3
15-11-2018,105.52,175.95,140.37,179.8,104.39
16-11-2018,59.99,230.56,115.57,180.6,73.44
17-11-2018,96.6,255.42,59.77,171.56,76.59
18-11-2018,83.45,313.67,50.4,132.79,64.32
19-11-2018,61.66,319.12,61.77,123.11,47.35
20-11-2018,67.23,374.77,112.36,145.57,35.46
21-11-2018,71.11,349.54,139.98,160.78,36.16
22-11-2018,39.52,292.92,137.89,144.07,48.44
23-11-2018,50.78,331.22,147.11,168.41,49.24
24-11-2018,93.05,223.33,155.13,159.27,37.35
25-11-2018,106.53,268.83,149.67,193.58,44.34
26-11-2018,119.7,362.41,150.75,139.42,85.65
27-11-2018,137.9,378.23,152.94,132.45,112.18
28-11-2018,112.2,356.12,155.16,150.3,119.12
29-11-2018,86.54,363.12,153.14,159.61,108.14
30-11-2018,79.92,340.56,145.96,171.07,58.17
01-12-2018,83.54,297.66,147.06,177.14,70.75
02-12-2018,68.25,331.5,145.82,159.49,72.64
03-12-2018,69.43,356.2,145.29,154.57,69.66
04-12-2018,74.27,393.74,147.65,135.66,90.86
05-12-2018,64.2,345.32,118.13,147.49,74.59
06-12-2018,81.35,395.33,111.3,148.21,61.3
07-12-2018,150.02,353.86,92.8,128.71,53.63
08-12-2018,98.66,358.72,122.93,131.45,47.04
09-12-2018,110.14,388.23,131.2,142.75,85.48
10-12-2018,137.41,453.77,132.25,145.21,114.52
11-12-2018,177.97,461.98,145.09,132.43,124.33
12-12-2018,142.62,327.23,134.84,95.9,115.19
13-12-2018,103.83,162.44,123.7,80.8,90.71
14-12-2018,84.47,196.85,119.8,74.59,73.69
15-12-2018,81.06,211.8,134.26,80.6,89.85
16-12-2018,109.67,252.01,149.24,184.78,90.91
17-12-2018,140.52,322.5,95.42,97.21,85.65
18-12-2018,181.41,339.38,34.08,114.26,110.35
19-12-2018,132.37,351.7,62.25,196.71,116.95
20-12-2018,105.66,429.33,93.15,188.66,102.92
21-12-2018,106.8,403.18,107.95,192.65,103.17
22-12-2018,93.24,502.83,139.71,142.72,106.69
23-12-2018,86.46,560.68,138.69,124.86,60.51
24-12-2018,85.68,546.59,154.46,133.18,60.48
25-12-2018,102.48,399.37,149.61,133.25,52.33
26-12-2018,100.47,366.1,119.15,142.13,69.44
27-12-2018,107.8,453.45,134.16,160.86,81.17
28-12-2018,111.01,387.84,138.43,150.5,79.04
29-12-2018,106.31,399.14,140.93,175.54,85.51
30-12-2018,100.07,503.99,142.41,173.96,83.14
31-12-2018,107.44,494.51,136.91,184.89,99.05
01-01-2019,107.76,461.02,143.42,212.37,99.86
02-01-2019,92.47,515.72,153.99,190.06,98.66
03-01-2019,96.42,519.34,146.69,167.25,92.79
04-01-2019,105.52,388.79,158.34,140.16,80.7
05-01-2019,99.1,411.49,140.13,130.37,85.2
06-01-2019,105.51,254.66,153.78,173.96,79.36
07-01-2019,116.5,283.88,157.71,108.94,91.32
08-01-2019,106.76,242.02,165.61,154.85,93.45
09-01-2019,113.27,238.94,164.93,144.19,104.01
10-01-2019,108.49,278.87,161.34,145.13,92.53
