Date,Bengaluru,Delhi,Hyderabad
2015-11-07,27.73,67.43,11.96
2015-11-08,21.44,49.64,12.03
2015-11-09,18.46,55.64,11.98
2015-11-10,12.63,69.34,11.93
2015-11-11,22.21,48.34,11.96
2015-11-12,21.57,47.57,11.91
2015-11-13,27.79,50.58,11.7
2015-11-14,21.94,48.04,9.85
2015-11-15,22.705,49.4,2.5
2015-11-16,23.47,60.07,3.52
2015-11-17,24.235000000000003,41.89,6.01
2015-11-18,25.0,45.24,5.94
2015-11-19,41.96,55.18,5.96
2015-11-20,23.93,64.78,5.97
2015-11-21,21.28,63.08,6.83
2015-11-22,13.92,63.4,10.08
2015-11-23,24.04,74.83,9.44
2015-11-24,26.98,67.9,8.95
2015-11-25,32.75,35.62,8.87
2015-11-26,55.4,40.68,8.95
2015-11-27,32.33,57.48,8.93
2015-11-28,32.75,60.1,8.6
2015-11-29,19.08,59.13,8.95
2015-11-30,21.4,73.94,8.93
2015-12-01,21.81,57.35,8.94
2015-12-02,22.0,52.71,9.32
2015-12-03,37.08,52.48,10.45
2015-12-04,52.45,43.76,9.3
2015-12-05,51.77,68.78,10.39
2015-12-06,41.62,75.74,10.46
2015-12-07,46.07,81.3,10.53
2015-12-08,45.43,90.35,10.43
2015-12-09,46.15,61.29,10.35
2015-12-10,51.46,50.46,10.5
2015-12-11,26.38,57.97,10.5
2015-12-12,20.93,49.91,10.48
2015-12-13,12.64,37.83,10.46
2015-12-14,11.98,38.84,10.43
2015-12-15,14.1,34.31,10.53
2015-12-16,20.54,52.2,10.54
2015-12-17,22.39,59.43,10.55
2015-12-18,29.2,65.5,10.46
2015-12-19,21.95,74.04,10.41
2015-12-20,26.04,126.19,10.49
2015-12-21,30.54,100.15,10.49
2015-12-22,34.27,163.07,10.38
2015-12-23,36.34,108.68,10.42
2015-12-24,44.44,65.53,10.42
2015-12-25,24.77,62.62,10.42
2015-12-26,18.88,69.77,10.35
2015-12-27,14.76,72.76,10.38
2015-12-28,41.98,69.14,10.43
2015-12-29,24.83,60.62,10.35
2015-12-30,21.42,72.74,10.51
2015-12-31,26.49,72.69,10.46
2016-01-01,14.68,79.87,10.58
2016-01-02,16.05,65.11,10.46
2016-01-03,16.37,66.4,10.35
2016-01-04,14.18,73.73,10.52
2016-01-05,16.97,78.22,10.55
2016-01-06,16.71,83.7,10.53
2016-01-07,26.13,105.21,10.52
2016-01-08,22.84,98.29,10.43
2016-01-09,21.32,60.24,10.47
2016-01-10,11.01,62.87,10.44
2016-01-11,10.72,68.11,10.47
2016-01-12,12.27,64.5,10.33
2016-01-13,12.06,68.5,10.43
2016-01-14,19.63,59.65,10.44
2016-01-15,17.869999999999997,47.42,10.4
2016-01-16,16.11,35.05,10.42
2016-01-17,10.83,35.01,10.39
2016-01-18,16.09,45.72,10.41
2016-01-19,20.9,43.49,10.42
2016-01-20,28.94,40.44,10.51
2016-01-21,43.57,37.76,10.39
2016-01-22,26.58,48.9,10.42
2016-01-23,16.27,67.05,10.5
2016-01-24,14.08,56.64,10.59
2016-01-25,19.55,44.74,10.58
2016-01-26,17.79,58.38,10.42
2016-01-27,20.6,63.16,10.44
2016-01-28,53.81,68.84,10.45
2016-01-29,22.43,74.39,10.4
2016-01-30,20.22,78.01,10.4
2016-01-31,33.27,53.86,10.42
2016-02-01,30.23,37.51,10.5
2016-02-02,27.39,32.1,10.52
2016-02-03,23.28,30.46,10.51
2016-02-04,22.79,31.31,10.57
2016-02-05,21.72,38.98,10.61
2016-02-06,19.25,41.58,10.57
2016-02-07,19.97,46.76,10.28
2016-02-08,18.87,45.57,10.42
2016-02-09,20.89,44.85,10.38
2016-02-10,20.63,48.24,10.28
2016-02-11,17.12,41.33,10.45
2016-02-12,19.85,35.09,10.28
2016-02-13,17.34,33.55,10.39
2016-02-14,15.09,35.13,10.3
2016-02-15,40.86,35.02,10.28
2016-02-16,27.19,32.58,9.8
2016-02-17,24.05,35.79,10.49
2016-02-18,24.9,54.55,10.47
2016-02-19,25.75,67.61,10.57
2016-02-20,29.92,79.34,10.49
2016-02-21,29.87,47.95,10.53
2016-02-22,29.34,30.92,10.47
2016-02-23,30.6,28.75,10.46
2016-02-24,28.79,35.85,10.42
2016-02-25,27.07,36.07,10.48
2016-02-26,24.1,27.19,10.4
2016-02-27,5.47,36.93,10.31
2016-02-28,4.09,41.99,10.32
2016-02-29,3.83,49.77,10.39
2016-03-01,13.53,51.11,10.29
2016-03-02,22.47,41.75,10.26
2016-03-03,22.73,48.37,10.21
2016-03-04,21.95,39.42,10.27
2016-03-05,23.49,31.6,10.37
2016-03-06,23.84,44.64,10.16
2016-03-07,23.77,54.88,10.3
2016-03-08,23.93,40.96,10.33
2016-03-09,33.25,35.16,10.29
2016-03-10,31.23,37.73,10.27
2016-03-11,33.7,28.85,10.31
2016-03-12,26.04,27.093333333333334,10.33
2016-03-13,21.27,25.336666666666662,10.27
2016-03-14,23.37,23.58,10.26
2016-03-15,24.7,26.0,10.29
2016-03-16,36.52,29.89,10.11
2016-03-17,29.15,31.57,9.786666666666669
2016-03-18,26.55,30.43,9.463333333333336
2016-03-19,29.65,38.99,9.14
2016-03-20,27.35,52.94,10.32
2016-03-21,32.86,33.75,10.22
2016-03-22,32.7,21.64,10.4
2016-03-23,29.53,27.0,10.39
2016-03-24,24.5,39.36,10.31
2016-03-25,22.9,44.01,10.34
2016-03-26,32.86,37.72,10.35
2016-03-27,42.56,28.36,10.29
2016-03-28,50.0,27.83,10.31
2016-03-29,24.05,29.91,10.12
2016-03-30,22.67,27.39,10.16
2016-03-31,23.75,34.59,10.31
2016-04-01,23.19,43.8,10.47
2016-04-02,29.64,53.010000000000005,16.5
2016-04-03,19.18,62.22,22.53
2016-04-04,45.69,59.55,28.56
2016-04-05,22.62,24.26,26.16
2016-04-06,28.88,32.31,22.29
2016-04-07,23.17,48.67,22.34
2016-04-08,19.5,31.01,20.01
2016-04-09,18.87,35.12,19.59
2016-04-10,16.4,33.72,17.59
2016-04-11,20.63,31.62,18.48
2016-04-12,17.27,23.32,19.29
2016-04-13,30.91,22.7,22.54
2016-04-14,25.67,22.82,25.98
2016-04-15,26.03,34.25,23.21
2016-04-16,26.81,17.79,21.43
2016-04-17,24.31,21.22,21.25
2016-04-18,25.84,28.33,22.27
2016-04-19,25.01,28.32,20.13
2016-04-20,25.6,25.14,22.38
2016-04-21,22.65,20.52,23.69
2016-04-22,26.41,20.0,22.04
2016-04-23,27.43,20.6,18.78
2016-04-24,20.86,22.0,20.14
2016-04-25,25.49,23.14,21.5
2016-04-26,24.94,29.38,34.24
2016-04-27,19.65,39.52,38.48
2016-04-28,18.06,37.83,31.97
2016-04-29,17.12,32.04,33.59
2016-04-30,17.48,16.95,33.19
2016-05-01,16.11,17.35,29.73
2016-05-02,19.71,13.81,23.99
2016-05-03,20.1,31.89,30.58
2016-05-04,16.71,49.53,44.38
2016-05-05,17.66,44.78,28.44
2016-05-06,16.79,35.93,48.05
2016-05-07,17.82,39.63,59.64
2016-05-08,16.68,45.99,78.57
2016-05-09,16.5,51.11,35.16
2016-05-10,16.75,43.66,34.26
2016-05-11,16.13,53.04,31.42
2016-05-12,19.08,66.64,30.83
2016-05-13,23.06,56.26,29.29
