Date,Bengaluru,Chennai,Delhi,Lucknow,Hyderabad,Gurugram
2015-07-14,7.82,35.64,46.71,26.84,17.43,
2015-07-15,5.49,32.25,52.2,29.54,13.39,
2015-07-16,8.06,30.0,72.44,29.33,14.15,
2015-07-17,8.48,32.51,61.43,29.38,11.07,
2015-07-18,10.27,30.9,56.32,29.94,10.84,
2015-07-19,9.43,28.57,59.05,30.2,9.41,
2015-07-20,8.67,30.88,61.55,29.08,11.09,
2015-07-21,3.62,31.69,46.98,28.94,9.13,
2015-07-22,3.54,28.35,44.49,29.38,9.71,
2015-07-23,5.13,32.5,49.72,29.04,13.11,
2015-07-24,6.49,38.29,47.11,30.29,14.19,
2015-07-25,9.61,31.79,45.9,24.92,15.79,
2015-07-26,8.9,29.31,40.73,21.02,12.82,
2015-07-27,8.78,24.5,36.65,19.89,16.21,
2015-07-28,7.16,31.29,38.49,26.09,13.88,
2015-07-29,5.82,30.81,35.89,30.68,12.75,
2015-07-30,5.42,29.26,26.26,27.57,13.68,
2015-07-31,3.53,30.59,36.57,30.32,16.41,
2015-08-01,3.38,29.3,41.27,34.52,19.35,
2015-08-02,4.83,18.06,46.38,33.49,23.61,
2015-08-03,5.74,16.74,45.97,33.51,19.85,
2015-08-04,5.24,19.37,56.88,29.36,16.03,
2015-08-05,3.0,16.56,54.66,26.69,17.39,
2015-08-06,7.21,12.61,60.57,28.24,10.13,
2015-08-07,3.29,14.3,68.17,17.7,14.44,
2015-08-08,3.98,11.84,62.76,14.84,13.17,
2015-08-09,4.73,14.38,45.4,10.72,11.26,
2015-08-10,6.23,15.58,61.52,10.7,13.77,
2015-08-11,9.86,16.66,62.67,12.55,11.77,
2015-08-12,6.76,14.3,55.37,16.36,11.51,
2015-08-13,6.11,13.79,80.63,17.04,12.1,
2015-08-14,5.86,15.16,69.27,19.8,12.29,
2015-08-15,10.04,13.02,44.93,20.69,13.63,
2015-08-16,7.48,22.01,44.79,18.66,9.85,
2015-08-17,5.93,20.54,45.05,19.63,13.55,
2015-08-18,3.75,12.83,48.86,19.79,16.88,
2015-08-19,4.3,13.74,38.86,21.1,18.66,
2015-08-20,3.41,15.53,42.13,20.57,21.14,
2015-08-21,3.44,15.55,57.47,21.76,15.34,
2015-08-22,3.35,12.97,52.48,19.81,14.94,
2015-08-23,3.86,10.11,33.94,19.74,15.04,
2015-08-24,4.72,12.72,38.73,20.14,14.93,
2015-08-25,6.26,13.35,44.9,21.09,18.63,
2015-08-26,7.65,16.24,40.43,19.86,19.52,
2015-08-27,4.84,12.59,56.61,33.11,15.83,
2015-08-28,4.19,10.77,64.07,57.38,15.27,
2015-08-29,12.64,11.95,65.56,41.24,16.65,
2015-08-30,12.65,18.81,62.61,40.33,14.33,
2015-08-31,17.22,20.96,60.73,41.17,13.46,
2015-09-01,13.62,30.26,61.33,42.08,16.57,
2015-09-02,11.57,34.15,72.47,39.54,22.47,
2015-09-03,14.5,28.04,72.94,33.81,26.75,
2015-09-04,10.98,28.95,71.5,33.35,27.06,
2015-09-05,38.49,29.73,56.59,26.45,24.37,
2015-09-06,29.85,20.59,49.32,19.49,26.32,
2015-09-07,21.21,22.13,52.24,15.24,29.29,
2015-09-08,12.62,20.26,61.95,11.43,27.04,
2015-09-09,5.34,24.66,68.21,13.45,22.48,
2015-09-10,5.01,24.13,68.49,18.61,24.69,
2015-09-11,5.48,19.44,68.81,16.67,24.11,
2015-09-12,17.12,18.16,69.36,12.37,25.47,
2015-09-13,13.22,23.09,64.05,11.04,37.7,
