Date,DL002,DL031,KA009
2015-11-06,67.99,60.69,32.2
2015-11-07,92.56,96.0,27.73
2015-11-08,63.22,75.13,21.44
2015-11-09,70.53,74.52,18.46
2015-11-10,95.17,92.34,12.63
2015-11-11,67.79,65.96,22.21
2015-11-12,47.23,57.57,21.57
2015-11-13,35.77,65.18,27.79
2015-11-14,13.87,61.71,21.94
2015-11-15,7.32,63.34,22.705
2015-11-16,45.26,73.92,23.47
2015-11-17,59.78,49.73,24.235000000000003
2015-11-18,84.34,49.04,25.0
2015-11-19,94.58,61.89,41.96
2015-11-20,106.75,74.2,23.93
2015-11-21,130.08,69.52,21.28
2015-11-22,120.21,66.32,13.92
2015-11-23,122.35,70.4,24.04
2015-11-24,93.81,67.0,26.98
2015-11-25,34.49,44.15,32.75
2015-11-26,15.8,52.76,55.4
2015-11-27,57.57,58.12,32.33
2015-11-28,96.52,71.52,32.75
2015-11-29,90.22,79.0,19.08
2015-11-30,117.01,85.39,21.4
2015-12-01,94.74,56.22,21.81
2015-12-02,78.63,50.81,22.0
2015-12-03,90.86,50.69,37.08
2015-12-04,71.39,40.45,52.45
2015-12-05,107.93,59.12,51.77
2015-12-06,112.23,60.11,41.62
2015-12-07,227.49,55.24,46.07
2015-12-08,266.32,54.26,45.43
2015-12-09,117.2,53.98,46.15
2015-12-10,76.99,54.59,51.46
2015-12-11,79.42,62.05,26.38
2015-12-12,82.09,55.82,20.93
2015-12-13,57.49,42.94,12.64
2015-12-14,61.4,53.9,11.98
2015-12-15,,,14.1
2015-12-16,,,20.54
2015-12-17,,,22.39
2015-12-18,,,29.2
2015-12-19,,,21.95
2015-12-20,,,26.04
2015-12-21,,,30.54
2015-12-22,102.94,106.3,34.27
2015-12-23,145.94,117.38,36.34
2015-12-24,70.37,58.99,44.44
2015-12-25,81.66,55.03,24.77
2015-12-26,81.3,67.8,18.88
2015-12-27,93.05,78.29,14.76
2015-12-28,91.11,64.93,41.98
2015-12-29,90.12,70.03,24.83
2015-12-30,125.76,86.85,21.42
2015-12-31,113.91,86.93,26.49
2016-01-01,120.35,107.15,14.68
2016-01-02,100.56,89.12,16.05
2016-01-03,100.05,96.75,16.37
2016-01-04,126.73,113.92,14.18
2016-01-05,134.77,97.5,16.97
2016-01-06,139.56,103.43,16.71
2016-01-07,151.3,142.95,26.13
2016-01-08,152.11,105.93,22.84
